,back_legroom,body_type,dealer_zip,engine_type,exterior_color,front_legroom,fuel_tank_volume,fuel_type,has_accidents,horsepower,interior_color,is_new,make_name,maximum_seating,price,theft_title,torque,transmission,transmission_display,wheel_system,wheelbase,year
225,--,SUV / Crossover,11797,V6,Black,67 in,26.4 gal,Gasoline,True,300.0,Black,False,Porsche,5 seats,16495.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2014
287,33.3 in,Sedan,11797,V6 Hybrid,Basalt Black Metallic,41.9 in,21.1 gal,Hybrid,False,380.0,Brown (Luxor Beige),False,Porsche,4 seats,26995.0,False,428 lb-ft @ 3000 RPM,A,Automatic,RWD,114.9 in,2013
326,--,SUV / Crossover,11797,V8,Black,67 in,26.4 gal,Gasoline,True,420.0,Black in conjunction,False,Porsche,5 seats,29995.0,False,380 lb-ft @ 3500 RPM,A,Automatic,AWD,114 in,2013
409,,Sedan,11797,V6,White,,,Gasoline,False,,Black,False,Porsche,,26995.0,False,,A,Automatic,,,2012
948,--,SUV / Crossover,07643,V8,Green,--,26.4 gal,Gasoline,False,385.0,Brown,False,Porsche,5 seats,8999.0,False,369 lb-ft @ 3500 RPM,A,6-Speed Automatic,AWD,112.4 in,2008
1902,33.3 in,Sedan,11021,V6,Black,41.9 in,21.1 gal,Gasoline,False,310.0,Black,False,Porsche,4 seats,43995.0,False,295 lb-ft @ 3750 RPM,A,7-Speed Automatic,AWD,115 in,2016
1973,--,SUV / Crossover,11021,V6,Black,67 in,26.4 gal,Gasoline,False,420.0,Black,False,Porsche,5 seats,40995.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,114 in,2017
2006,--,SUV / Crossover,07060,V6,Black,--,19.8 gal,Gasoline,False,400.0,Black,False,Porsche,5 seats,36900.0,False,406 lb-ft @ 1350 RPM,A,7-Speed Automatic,AWD,110.5 in,2015
2042,--,SUV / Crossover,07060,V8,Black,67 in,26.4 gal,Gasoline,True,400.0,None,False,Porsche,5 seats,25900.0,False,369 lb-ft @ 3500 RPM,A,8-Speed Automatic,AWD,114 in,2013
2470,--,Sedan,07036,V8,GT Silver Metallic,--,23.7 gal,Gasoline,False,550.0,Black,False,Porsche,4 seats,99800.0,False,567 lb-ft @ 1960 RPM,A,Automatic,AWD,116.1 in,2018
2749,--,SUV / Crossover,07036,V8,Black,--,26.4 gal,Gasoline,False,500.0,Espresso/Cognac,False,Porsche,5 seats,23900.0,False,516 lb-ft @ 4500 RPM,A,Automatic,AWD,114 in,2012
3276,33.3 in,Sedan,07036,V6,Jet Black Metallic,41.9 in,21.1 gal,Gasoline,True,420.0,Black,False,Porsche,4 seats,42800.0,False,384 lb-ft @ 5000 RPM,A,Automatic,AWD,114.9 in,2015
3332,--,SUV / Crossover,07036,V6,Black,--,19.8 gal,Gasoline,False,455.0,Black,False,Porsche,5 seats,76900.0,False,516 lb-ft @ 1000 RPM,A,Automatic,AWD,114 in,2019
3481,33.3 in,Sedan,08812,V8,Agate Gray Metallic,41.9 in,26.4 gal,Gasoline,False,440.0,Black,False,Porsche,4 seats,51990.0,False,384 lb-ft @ 3500 RPM,A,7-Speed Automatic,AWD,114 in,2015
3508,--,SUV / Crossover,08812,V6,Carmine Red,--,19.8 gal,Gasoline,True,360.0,Black,False,Porsche,5 seats,44990.0,False,369 lb-ft @ 1650 RPM,A,7-Speed Automatic,AWD,110.5 in,2017
3586,--,Coupe,07036,H4,Black,41.6 in,16.9 gal,Gasoline,True,350.0,Black,False,Porsche,2 seats,49800.0,False,309 lb-ft @ 1900 RPM,A,Automatic,RWD,97.4 in,2017
3722,--,SUV / Crossover,07036,V6,Black,--,19.8 gal,Gasoline,False,348.0,Black,False,Porsche,5 seats,58600.0,False,352 lb-ft @ 1360 RPM,A,Automatic,AWD,110.5 in,2019
4846,--,SUV / Crossover,48843,,White,--,19.8 gal,,False,400.0,Black,False,Porsche,5 seats,67900.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,110.5 in,2018
5042,--,SUV / Crossover,10466,I4,Black,--,19.8 gal,Gasoline,False,252.0,Black,False,Porsche,5 seats,25950.0,False,273 lb-ft @ 1600 RPM,A,Automatic,AWD,110.5 in,2017
5547,--,Coupe,07604,H6,Agate Gray Metallic,41.6 in,18 gal,Gasoline,False,560.0,Black,False,Porsche,4 seats,132895.0,False,516 lb-ft @ 2100 RPM,A,7-Speed Automatic,AWD,96.5 in,2016
6180,--,SUV / Crossover,07727,V6,Mahogany Metallic,--,19.8 gal,Gasoline,True,340.0,Brown (Luxor Beige),False,Porsche,5 seats,27995.0,False,339 lb-ft @ 1450 RPM,A,7-Speed Automatic,AWD,110.5 in,2015
6419,--,SUV / Crossover,07727,V6,Rhodium Silver Metallic,67 in,21.1 gal,Gasoline,True,416.0,Black,False,Porsche,5 seats,43995.0,False,,A,Automatic,AWD,114 in,2017
7731,--,Coupe,06704,H6,Arctic Silver Metallic,41.6 in,17 gal,Gasoline,True,296.0,Black,False,Porsche,2 seats,21675.0,False,258 lb-ft @ 4600 RPM,A,Automatic,RWD,92.6 in,1999
7801,13 in,Hatchback,07503,I4,Red,45 in,--,Gasoline,False,143.0,Black,False,Porsche,4 seats,10995.0,False,137 lb-ft @ 3000 RPM,A,Automatic,RWD,94.4 in,1986
7868,--,SUV / Crossover,07503,V8,White,--,22.4 gal,Gasoline,True,400.0,Black,False,Porsche,5 seats,18495.0,False,369 lb-ft @ 3500 RPM,A,Automatic,AWD,114 in,2012
8340,--,Coupe,07105,H6,Blue,41.6 in,16.9 gal,Gasoline,True,400.0,None,False,Porsche,4 seats,74995.0,False,325 lb-ft @ 5600 RPM,A,Automatic,RWD,96.5 in,2014
8857,--,Convertible,07727,H6,Platinum Silver Metallic,41.6 in,14.3 gal,Gasoline,False,320.0,Black,False,Porsche,2 seats,36995.0,False,,A,7-Speed Automatic,RWD,95.1 in,2011
9485,--,SUV / Crossover,07727,V6,White,--,23.7 gal,Gasoline,False,440.0,Truffle Brown/Cohiba,False,Porsche,5 seats,69995.0,False,405 lb-ft @ 1800 RPM,A,8-Speed Automatic,AWD,114 in,2019
9571,--,SUV / Crossover,11101,V6,Meteor Gray Metallic,67 in,26.4 gal,Gasoline,True,300.0,Black,False,Porsche,5 seats,38888.0,False,295 lb-ft @ 3000 RPM,A,8-Speed Automatic,AWD,114 in,2016
10942,--,SUV / Crossover,07201,V6,White,67 in,26.4 gal,Gasoline,True,300.0,None,False,Porsche,5 seats,32995.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2016
11201,33.3 in,Sedan,11377,V8,Grey,41.9 in,15.2 gal,Gasoline,False,500.0,Gray,False,Porsche,4 seats,44595.0,False,516 lb-ft @ 4500 RPM,A,Automatic,AWD,114.9 in,2013
15027,--,SUV / Crossover,48317,I4,Black,--,19.8 gal,Gasoline,False,252.0,Black,False,Porsche,5 seats,39500.0,False,273 lb-ft @ 1600 RPM,A,Automatic,AWD,110.5 in,2017
15919,--,SUV / Crossover,07631,V6,Black,67 in,26.4 gal,Gasoline,False,300.0,Black,False,Porsche,5 seats,36995.0,False,295 lb-ft @ 3000 RPM,A,Automatic,AWD,114 in,2016
16789,,Coupe,10977,H6,Racing Yellow,,,Gasoline,False,,Black,False,Porsche,,115995.0,False,,A,7-Speed Automatic,,,2019
16944,--,Coupe,10977,H6,Night Blue Metallic,41.6 in,16.9 gal,Gasoline,False,370.0,Black,False,Porsche,4 seats,83999.0,False,331 lb-ft @ 1700 RPM,A,7-Speed Automatic,RWD,96.5 in,2017
17104,--,SUV / Crossover,10019,V6,White,--,19.8 gal,Gasoline,False,455.0,Black,False,Porsche,5 seats,72995.0,False,516 lb-ft @ 1000 RPM,A,Automatic,AWD,114 in,2019
17135,--,SUV / Crossover,10019,I4,White,--,19.8 gal,Gasoline,False,252.0,Black,False,Porsche,5 seats,40995.0,False,273 lb-ft @ 1600 RPM,A,Automatic,AWD,110.5 in,2017
17163,--,Sedan,10019,V6,Jet Black Metallic,--,23.7 gal,Gasoline,False,330.0,Black,False,Porsche,4 seats,85995.0,False,331 lb-ft @ 1340 RPM,A,Automatic,AWD,116.1 in,2019
17170,--,SUV / Crossover,10019,I4,Jet Black Metallic,--,19.8 gal,Gasoline,False,248.0,Black/Mojave Beige,False,Porsche,5 seats,49995.0,False,273 lb-ft @ 1600 RPM,A,Automatic,AWD,110.5 in,2019
17194,--,SUV / Crossover,10019,V6,Moonlight Blue Metallic,67 in,26.4 gal,Gasoline,False,420.0,Black,False,Porsche,5 seats,41995.0,False,406 lb-ft @ 1350 RPM,A,Automatic,AWD,114 in,2015
